Name,Type,Command_Linux,Command_WinRM_PoSh,Command_SMB_PoSh,Command_RPC_Posh,Command_WinRM_WMI,Command_SMB_WMI,Command_RPC_WMI,Command_WinRM_Cmd,Command_SMB_Cmd,Command_RPC_Cmd,Command_WinRS_WMIC,Command_WinRS_CMD,Properties_PoSh,Properties_WMI,Description,ExportFileName
Processes,"System, Hunt, Charts, Baseline",ps aux || ps ef,Invoke-Command -ScriptBlock { Get-Process },Get-Process,Get-Process,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_Process },Get-WmiObject -Class Win32_Process,Get-WmiObject -Class Win32_Process,Invoke-Command -ScriptBlock { & tasklist /V /FO CSV },tasklist /V,tasklist /V /FO CSV /s $TargetComputer,winrs wmic process list brief,winrs tasklist /V /FO CSV,"PSComputerName, ID, @{Name='ProcessID';Expression={$_.ID}},Path, StartTime, @{name=""WorkingSetSize"";expression={$_.WS}} , Handle, HandleCount, @{Name=""ThreadCount"";expression={($_.Threads).count}}, Company, Product, Description,* -ErrorAction SilentlyContinue","PSComputerName, @{name=""Name"";expression={(($_.Name).split("".""))[0]}}, ProcessID, ParentProcessID, Path, WorkingSetSize, Handle, HandleCount, ThreadCount, @{n=""CreationDate"";e={$_.ConvertToDateTime($_.CreationDate)}}, Description,* -ErrorAction SilentlyContinue","Gets a list of running processes.

A process is an instance of a computer program that is being executed by one or many threads that exeucte instructions concurrently. It contains the program code and its activity. The list of legitimate, non-malicious processes will largely depend on the operating system and software installed on the endpoiint.

Several techniques exists to determine if a process is malicious or not, for example:
     1) Malware often uses common executable names for obfuscation. In this case, you can check the file locaiton of the process. For example, the svchost.exe process should only be launched from the C:\Windows\System32 directory.
     2) Malware can use advance techniques like 'process hollowing', where a legitamate process is loaded on the system solely to act as a container for malicious code. In this case, you can use known established Windows internals for aide. For example, only services.exe can launch legit a svchost.exe process, so any svchost.exe with a differing parent process is malicious.
     3) Some processes should have only one instance running like services.exe and lsass.exe.",Processes
Processor (CPU Info),Hardware,dmidecode -t 4,,,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_Processor },Get-WmiObject -Class Win32_Processor,Get-WmiObject -Class Win32_Processor,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, Name, Manufacturer, Caption, LoadPercentage, NumberOfCores, NumberOfLogicalProcessors, Description, MaxClockSpeed, CurrentClockSpeed, Status, ProcessorID, PartNumber",Gets information on the CPU Processor.,Processor (CPU Info)
Restore Point Info,System,,Invoke-Command -ScriptBlock { Get-ComputerRestorePoint },Get-ComputerRestorePoint,,,,,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Gets a list of Restore Points.,Restore Point Info
Scheduled Tasks,System,cat /etc/crontab,Invoke-Command -ScriptBlock { Get-ScheduledTask },Get-ScheduledTask,,,,,Invoke-Command -ScriptBlock { & schtasks /query /V /FO CSV },schtasks /query /V,schtasks /query /V /FO CSV,,winrs schtasks /query /V,"PSComputerName, TaskName, State, Date, Actions, TaskPath, Description","PSComputerName, * -ErrorAction SilentlyContinue",Gets scheduled tasks.,Scheduled Tasks
Screen Saver Info,System,,,,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_Desktop },Get-WmiObject -Class Win32_Desktop,Get-WmiObject -Class Win32_Desktop,,,,winrs wmic desktop list brief,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, Name, ScreenSaverActive, ScreenSaverTimeout, ScreenSaverExecutable, Wallpaper",Get screensaver information.,Screen Saver Info
Security Patches,"System, Charts, Baseline","apt-get upgrade -s | grep -i security || yum updateinfo list security all | grep -w ""I""",Invoke-Command -ScriptBlock { Get-HotFix },Get-HotFix,Get-HotFix,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_QuickFixEngineering },Get-WmiObject -Class Win32_QuickFixEngineering,Get-WmiObject -Class Win32_QuickFixEngineering,Invoke-Command -ScriptBlock { & dism /online /get-packages },dism /online /get-packages,dism /online /get-packages,winrs wmic qfe list,winrs dism /online /get-packages,"PSComputerName, @{Name=""Name"";Expression={$_.HotFixID}}, HotFixID, Description, InstalledBy, @{Name='InstalledOn';Expression={$($_.InstalledOn).tostring(""yyyyMMdd"")}}, ServicePackInEffect","PSComputerName, @{Name=""Name"";Expression={$_.HotFixID}}, HotFixID, Description, InstalledBy, @{Name='InstalledOn';Expression={$($_.InstalledOn).tostring(""yyyyMMdd"")}}, ServicePackInEffect",Gets information on security patches and when they were installed.,Security Patches
Services,"System, Hunt, Charts, Baseline",systemctl list-units --type service || service --status-all,Invoke-Command -ScriptBlock { Get-Service },Get-Service,Get-Service,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_Service },Get-WmiObject -Class Win32_Service,Get-WmiObject -Class Win32_Service,Invoke-Command -ScriptBlock { & sc query state=all },sc query state=all,sc query state=all,winrs wmic service list brief,winrs sc query state=all,"PSComputerName, Status, Name, DisplayName, RequiredServices, StartType, CanPauseAndContinue, CanShutdown, CanStop, ServiceHandle","PSComputerName, State, Name, ProcessID, Description, PathName, Started, StartMode, StartName","Gets information on services.

A service is a program that is often automatically started upon boot or through some other means, and is generally used for programs that run in the background. One place to look for malware is in the operating system's services to see if there is a service that does not belong and could be loading the infection.

A service is loaded on startup by either 1) Windows directly launching an application or 2) by using svchost.exe.
     1) If a service is loaded directly by Windows, the associated filename that launches the service can be found in the ImagePath value under the following registry entry: HKLM\SYSTEM\CurrentControlSet\Services\<servicename>. 
     2) If a service is being launched by svchost.exe, it will be placed in a particular service group, which is then launched by svchost.exe. A listing of these groups and the services that are launched under them can be found under the following registry entry: HKLM\Software\Microsoft\Windows NT\CurrentVersion\Svchost. Under this key you will find various groups (netsvcs, LocalServices, etc) in which each contain multiple services that will be launched when the group is loaded by svchost.exe. These groups are loaded by the following command: svchost.exe -k netsvcs. It will load all the services found under the netsvcs group in the above key and appear as one process under the process list. So each time a new group is loaded by svchost.exe, you will find a new svchost.exe process listed in memory. It is for this reason why there are multiple svchost.exe processes listed on a machine. You can see what services each svchost.exe process is controlling with the following command: tasklist /SVC. When a service is launched in the way, the actual filename for the service can be found here: HKLM\SYSTEM\CurrentControlSet\Services\<servicename>\Parameters\\ServiceDLL. The value of Service DLL is the actual service file that we want to be concerned with.

Service entries are stored in the registry under a section called ControlSet. A ControlSet is located under the following registry key: HKLM\SYSTEM. A ControlSet is a complete copy of the configuration that is used to successfully launch services, other critical files, and drives for Windows. When you look under the above key there will always be at least two ControlSets and one CurrentControlSet. One of these numbered control sets refers to the default configuration that is used when the computer normally boots. The other numbered control set refers to the one used when you choose to boot up using the Last Known Good Configuration. The last one, CurrentControlSet, is an exact mirror of the ControlSet used to boot into Windows, so that if you make a change, CurrentControlSet will automatically appear in the ControlSet it is mirroring and vice-versa. If you want to know for sure which ControlSet the CurrentControlSet is pointing to you can examine the following registry key: HKLM\SYSTEM\Select. This key gives us important information as to which ControlSet was used on the last boot, which is used by default, and which is designated for LastKnownGoodConfiguration.
",Services
Services Hosted in each Process,System,,,,,,,,Invoke-Command -ScriptBlock { & tasklist /SVC /FO CSV },tasklist /SVC,tasklist /SVC /FO CSV /s $TargetComputer,,winrs tasklist /SVC,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Displays with the services hosted in each process.,Services Hosted in each Process
SMB Connections,"Network, Hunt",,Invoke-Command -ScriptBlock { Get-SmbConnection },Get-SmbConnection,,,,,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Retrieves the connections established from the SMB client to the SMB servers.,SMB Connections
SMB Share Access,Hunt,smbstatus,Invoke-Command -ScriptBlock { Get-SmbShare | Foreach-Object {Get-SmbShareAccess -Name $_.Name} },Get-SmbShare | Foreach-Object {Get-SmbShareAccess -Name $_.Name},,,,,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",SMB Share Access,SMB Share Access
SMB Mapping,"Network, Hunt",,Invoke-Command -ScriptBlock { Get-SmbMapping },Get-SmbMapping,,,,,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Retrieves the SMB client directory mappings created for a server.,SMB Mapping
SMB Open Files,"Network, Hunt",,Invoke-Command -ScriptBlock { Get-SmbOpenFile },Get-SmbOpenFile,,,,,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Retrieves basic information about the files that are open on behalf of the clients of the SMB server.,SMB Open Files
SMB Sessions,"Network, Hunt",,Invoke-Command -ScriptBlock { Get-SmbSession },Get-SmbSession,,,,,Invoke-Command -ScriptBlock { & net session },net session,net session,,winrs net session,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, Status, Name, Path, Description","Retrieves information about the SMB sessions that are currently established between the SMB server and the associated clients.

Any unauthorized or unexpected SMB sessions should be investigated.",Sessions
SMB Shares,"Network, Hunt, Charts",,Invoke-Command -ScriptBlock { Get-SmbShare },Get-SmbShare,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_Share },Get-WmiObject -Class Win32_Share,Get-WmiObject -Class Win32_Share,Invoke-Command -ScriptBlock { & net share },net share,net share,winrs wmic share,winrs net share,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, Status, Name, Path, Description","Gets network shares. The 'net share' command is used to manage file/printer shares.

Any unauthorized or unexpected shares should be investigated.",SMB Shares
Software Installed,"System, Hunt, Charts, Baseline",apt list --installed || yum list installed,,,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_Product },Get-WmiObject -Class Win32_Product,Get-WmiObject -Class Win32_Product,,,,winrs wmic product list brief,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, Name, Vendor, Version, InstallDate, InstallDate2, InstallLocation, InstallSource, PackageName, PackageCache, RegOwner, HelpLink, HelpTelephone, URLInfoAbout, URLUpdateInfo, Language, Description, IdentifyingNumber",Gets installed software.,Software Installed
Startup Commands,"System, Hunt, Charts, Baseline",initclt list || cat /etc/init.d/*,,,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_StartupCommand },Get-WmiObject -Class Win32_StartupCommand,Get-WmiObject -Class Win32_StartupCommand,,,,winrs wmic startup list brief,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, Name, Location, Command, User",Gets startup information.,Startup Commands
System Info,"System, Network, Hardware, Baseline",hostname ; cat /etc/*rel*,Invoke-Command -ScriptBlock { Get-ComputerInfo },Get-ComputerInfo,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_ComputerSystem },Get-WmiObject -Class Win32_ComputerSystem,Get-WmiObject -Class Win32_ComputerSystem,Invoke-Command -ScriptBlock { & systeminfo /FO CSV | Convertfrom-Csv  },systeminfo,systeminfo /FO CSV,winrs wmic computersystem list brief,winrs systeminfo,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, Description, Manufacturer, Model, SystemType, NumberOfProcessors, TotalPhysicalMemory, EnableDaylightSavingsTime, BootupState, PartOfDomain, Domain, Username, PrimaryOwnerName",GUI = msinfo32 ; Get-ComputerInfo is only avilable on WPF 5.1 ; Gets consolidated operating system information and properties.,System Info
UEFI Secure Boot Policy,Hardware,,Invoke-Command -ScriptBlock { Get-SecureBootPolicy },Get-SecureBootPolicy,,,,,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Gets the publisher GUID and the policy version of the Secure Boot configuration policy.,UEFI Secure Boot Policy
UEFI Secure Boot Status,Hardware,,Invoke-Command -ScriptBlock { Confirm-SecureBootUEFI },Confirm-SecureBootUEFI,,,,,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue","If the hardware supports UEFI Secure Boot, checks if it's enabled. If enabled it will return True, otherwise False. If the hardware doesn't support UEFI Secure boot or is BIOS based, an not supported error will be displayed.",UEFI Secure Boot Status
USB Controller Devices,"Hardware, System",,,,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_USBControllerDevice },Get-WmiObject -Class Win32_USBControllerDevice,Get-WmiObject -Class Win32_USBControllerDevice,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, Name, Manufacturer, Status, Service, DeviceID, @{Name=""HardwareID"";Expression={$_.HardwareID}}",Gets USB Device Controller Information.,USB Controller Devices
USB History,Hardware,,Invoke-Command -ScriptBlock { Get-ItemProperty -Path HKLM:\system\CurrentControlSet\Enum\USBSTOR\*\* },Get-ItemProperty -Path HKLM:\system\CurrentControlSet\Enum\USBSTOR\*\*,,,,,,,,,,"PSComputerName, FriendlyName, Service, @{Name=""ContainerID"";Expression={""$($_.ContainerID.trim('{}'))""}}, @{Name=""HardwareID"";Expression={""$($_.HardwareID)""}} ","PSComputerName, * -ErrorAction SilentlyContinue",Gets the USB History of devices previously connected.,USB History
VM List (Hyper-V),"System, VM",,Invoke-Command -ScriptBlock { Get-VM -VMName * },Get-VM -VMName *,,,,,,,,,,"PSComputerName, VMName, VMId, State, Status, Uptime, CreationTime, SizeOfSystemFiles, CPUUsage, ProcessorCount, @{Name='NetworkAdapters';Expression={$_.NetworkAdapters}}, @{Name='VMIntegrationService';Expression={$_.VMIntegrationService}}, Heartbeat, IsClustered, ReplicationMode, ReplicationState, ReplicationHealth, MemoryAssigned, MemoryDemand, MemoryMinimum, MemoryMaximum, MemoryStartup, DynamicMemoryEnabled, SmartPagingFileInUse, SmartPagingFilePath, ResourceMeteringEnabled, ConfigurationLocation, SnapshotFileLocation, AutomaticStartAction, AutomaticStartDelay, NumaNodesCount, NumaSocketCount, Key, IsDeleted, Version, Notes, Generation, ParentSnapshotID, ParentSnapshotName, HardDrives, DVDDrives, FloppyDrive, FibreChannelHostBusAdapers, ComPort1, Comport2","PSComputerName, * -ErrorAction SilentlyContinue",Gets the virtual machines from one or more Hyper-V hosts.,VM List (Hyper-V)
VM Network Adapters (Hyper-V),"System, VM",,Invoke-Command -ScriptBlock { Get-VMNetworkAdapter -VMName * },Get-VMNetworkAdapter -VMName *,,,,,,,,,,"PSComputerName, VMName, Name, Status, @{Name='IPAddresses';Expression={$_.IPAddresses}}, MacAddress, SwitchName, SwitchId IsManagementOs, ClusterMonitored, IsLegacy, IsExternalAdapter, DynamicMacAddressEnabled, MacAddressSpoofing, AclList, ExtendedAclList, IsolationSetting, CurrentIsolationMode, RoutingDomainList, DhcpGuard, RouterGuard, PortMirroringMode, IeeePriorityTag, VirtualSubnetId, VlanSetting, DynamicIPAddressLimit, StormLimit, AllowTeaming, VMQWeight, IpsecOffloadSAUsage, BandwidthSetting, BandwidthPercentage, StatusDescription, IsDeleted, ComputerName","PSComputerName, * -ErrorAction SilentlyContinue","Gets the virtual network adapters of Hyper-V virtual machine, snapshot, management OS, or of a management OS.",VM Network Adapters (Hyper-V)
VM Snapshots (Hyper-V),"System, VM",,Invoke-Command -ScriptBlock { Get-VMSnapshot -VMName * },Get-VMSnapshot -VMName *,,,,,,,,,,"PSComputerName, VMName, State, Name, SnapshotType, CreationTime, ParentSnapshotName, VMId, Notes, Path","PSComputerName, * -ErrorAction SilentlyContinue",Gets the checkpoints associated with a Hyper-V virtual machine or checkpoint.,VM Snapshots (Hyper-V)
Windows Side by Side (Count),File,,,,,,,,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue","Windows Side By Side (WinSxS), is a folder that stores different copies of DLL and system files. It stores different files for compatibility reasons and for times older versions need to be restored. Files within contain different versions, are needed for installation, backups, or updates. It's a space hog, taking up several gigabytes of space and growing with each Windows Update you perform. ou can't just delete everything in the WinSxS folder, because some of those files are needed for Windows to run and update reliably. However, with Windows 7 and above you can use the built-in Disk Cleanup tool to delete older versions of Windows updates you no longer need.",Windows Side by Side (Count)
Windows Defender (Malware History),Hunt,,Invoke-Command -ScriptBlock { Get-MpThreat },Get-MpThreat,,,,,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Gets the history of threats detected on the computer.,Windows Defender (Malware History)
Windows Defender (Malware Detected),System,,Invoke-Command -ScriptBlock { Get-MpThreatDetection },Get-MpThreatDetection,,,,,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Gets active and past malware threats that Windows Defender detected.,Windows Defender (Malware Detected)
Windows Defender (Preferences),"System, Network",,Invoke-Command -ScriptBlock { Get-MpPreference },Get-MpPreference,,,,,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Gets preferences for the Windows Defender scans and updates.,Windows Defender (Preferences)
Windows Defender (Status),"System, Network",,Invoke-Command -ScriptBlock { Get-MpComputerStatus },Get-MpComputerStatus,,,,,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Gets the status of anti-malware software on the computer.,Windows Defender (Status)
WSMan Trusted Hosts,"System, Network",,Invoke-Command -ScriptBlock { Get-Item WSMan:\localhost\Client\TrustedHosts },Get-Item WSMan:\localhost\Client\TrustedHosts,,,,,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue","The WS-Management TrustedHosts list is a list of trusted resources for your computer. The TrustedHosts list consists of a comma-separated list of computer names, IP addresses, and fully-qualified domain names. Only members of the Administrators group on the computer have permission to change the list of trusted hosts on the computer. For information about runningWindows PowerShell with administrator permissions, see How to Run as Administrator. To use the IP address of a remote computer in a Windows PowerShell command to connect to the remote computer, the IP address must be in the TrustedHosts list on your computer. This is a requirement of NTLM authentication, which is used whenever a computer is identified by the IP address instead of a computer name.",WSMan Trusted Hosts
Windows Optional Features (Enabled),System,,Invoke-Command -ScriptBlock { Get-WindowsOptionalFeature -online | Where-Object state -eq enabled },Get-WindowsOptionalFeature -online | Where-Object {$_.state -eq 'enabled'},,,,,,,,,,"PSComputerName, FeatureName, State,  LogPath, LogLevel","PSComputerName, * -ErrorAction SilentlyContinue","The Get-WindowsOptionalFeature cmdlet gets information about all features (operating system features that include
    optional Windows foundation features) in the Windows Foundation Package or a specified package in the Windows
    image.

    Use the PackageName or PackagePath parameter to get information about all features in a specific package in the
    Windows image.

    The FeatureName parameter gets more detailed information about a specific feature in the Windows image. If the
    feature is not a part of the Windows Foundation package, either a PackageName or PackagePath parameter must be
    used to specify the parent package of the feature.

    Use the Online parameter to specify the running operating system on your local computer, or use the Path parameter
 to specify the location of a mounted Windows image.",Windows Optional Features (Enabled)
Command Line History,"System, Hunt",cat /home/*/.bash_history,Invoke-Command -ScriptBlock { Get-Content (Get-PSReadLineOption | select -ExpandProperty HistorySavePath) },Invoke-Command -ScriptBlock { Get-Content (Get-PSReadLineOption | select -ExpandProperty HistorySavePath) },,,,,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Command Line History,Command Line History
List all Open Files,"System, Hunt",lsof,,,,,,,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",List all open files,List all Open Files
List all binaries,"System, Hunt",{ IFS=:; ls -H $PATH ; } | sort -u,,,,,,,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",List all unique binary names found within all the paths in $PATH,List all binaries
SSH Known Hosts,"Network, Hunt",cat /etc/*/.ssh/known_hosts,,,,,,,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Get all the known hosts that the endpoints has connected to from all the known_hosts files,SSH Known Hosts
SSH ID RSA Public Key,"Network, Hunt",cat /etc/*/.ssh/id_rsa.pub,,,,,,,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Get the ID RSA Public Key for the endpoint from all the id_rsa.pub files,SSH ID RSA Public Key
