"PSComputerName","InstallDate","Status","Description","Service","DeviceID","HardwareID","Manufacturer"
"DELLWIN10",,"OK","SM Bus Controller",,"PCI\VEN_8086&DEV_1C22&SUBSYS_04941028&REV_04\3&11583659&0&FB","PCI\VEN_8086&DEV_1C22&SUBSYS_04941028&REV_04; PCI\VEN_8086&DEV_1C22&SUBSYS_04941028; PCI\VEN_8086&DEV_1C22&CC_0C0500; PCI\VEN_8086&DEV_1C22&CC_0C05","Intel"
"DELLWIN10",,"OK","Plug and Play Software Device Enumerator","swenum","ROOT\SYSTEM\0000","ROOT\SWENUM","(Standard system devices)"
"DELLWIN10",,"OK","USB Mass Storage Device","USBSTOR","USB\VID_1058&PID_25E2\575832314433373136303739","USB\VID_1058&PID_25E2&REV_4004; USB\VID_1058&PID_25E2","Compatible USB storage device"
"DELLWIN10",,"OK","Remote Desktop Device Redirector Bus","rdpbus","ROOT\RDPBUS\0000","ROOT\RDPBUS","Microsoft"
"DELLWIN10",,"OK","USB Composite Device","usbccgp","USB\VID_1BCF&PID_2802\6&A7E552&0&5","USB\VID_1BCF&PID_2802&REV_1<09; USB\VID_1BCF&PID_2802","(Standard USB Host Controller)"
"DELLWIN10",,"OK","WAN Miniport (IPv6)","NdisWan","SWD\MSRRAS\MS_NDISWANIPV6","ms_ndiswanipv6","Microsoft"
"DELLWIN10",,"OK","Volume","volume","STORAGE\VOLUME\{C5BFA663-C85E-11E8-903C-806E6F6E6963}#0000000022600000","STORAGE\Volume","Microsoft"
"DELLWIN10",,"OK","High Definition Audio Device","HdAudAddService","HDAUDIO\FUNC_01&VEN_111D&DEV_76E7&SUBSYS_10280494&REV_1001\4&1878FD86&0&0001","HDAUDIO\FUNC_01&VEN_111D&DEV_76E7&SUBSYS_10280494&REV_1001; HDAUDIO\FUNC_01&VEN_111D&DEV_76E7&SUBSYS_10280494","Microsoft"
"DELLWIN10",,"OK","Broadcom 802.11n Network Adapter","BCM43XX","PCI\VEN_14E4&DEV_4727&SUBSYS_00101028&REV_01\4&3A9F0C31&0&00E1","PCI\VEN_14E4&DEV_4727&SUBSYS_00101028&REV_01; PCI\VEN_14E4&DEV_4727&SUBSYS_00101028; PCI\VEN_14E4&DEV_4727&CC_028000; PCI\VEN_14E4&DEV_4727&CC_0280","Broadcom"
"DELLWIN10",,"OK","WAN Miniport (L2TP)","Rasl2tp","SWD\MSRRAS\MS_L2TPMINIPORT","ms_l2tpminiport","Microsoft"
